Date,CSU,BB,CM,XIT,XFN,XRE,XMD,XCV,XMV,XIC,XIN,XBB,XGB,XLB
2013-02-13,-0.001740411,-0.085522173,0.006984428,-0.027895793,0.002408828,-0.002312037,-0.000454798,0.0019012,0,-0.00148397,0.003169836,-0.001611162,-0.001394593,-0.003961775
2013-02-14,-0.02980757,0.072320662,-0.00036023,0.002824871,-0.001604556,0.001156497,-0.002280716,-0.000949981,-0.004114018,-0.003968347,-0.003169836,0.001933523,0.002322611,0.004401177
2013-02-15,0.025317616,-0.056025579,0.002278412,-0.008498667,0.000802144,-0.002314428,-0.00182813,0.000949981,0.000457495,-0.003485261,-0.001588555,-0.000966426,-0.000928018,-0.001758251
2013-02-19,-0.031834587,0.023612208,0.011551543,0.011315582,0.011966334,0.002314428,0.002741143,0.00803937,0.005479812,0.010419954,0.012114829,-0.000644568,-0.001394593,0
2013-02-20,-0.008900503,-0.043485112,0.002837146,-0.012739075,0,-0.001735628,-0.011009889,-0.003775289,0.003182059,-0.009422838,-0.003146017,0.001288634,0.000929863,0.000439529
2013-02-21,0.021892314,0.012820688,-0.004615006,-0.005714323,-0.004063235,0.000988143,-0.003233251,-0.003315068,-0.005918152,-0.004494226,-0.012685515,0.002354911,0.003347807,0.00233596
2013-02-22,0.012573065,-0.047093091,-0.000830238,-0.010079187,0.004778866,0.000580368,0.00737643,0.00473293,0.003191234,0.005987869,0.013735356,0.001930919,0.001392846,0.005705608
2013-02-25,0.009348606,0,-0.008344556,0.005772044,-0.007577948,-0.002324259,0.000458846,-0.001890551,0.003180965,-0.004487639,-0.023892853,0.003530881,0.003701201,0.006107677
2013-02-26,0.005220002,-0.001484781,-0.000478852,-0.010122914,0.000800934,0.000581476,-0.005986134,-0.00236821,-0.005459396,0.001498186,0.011220802,0.000320463,0.00092283,0.000435272
2013-02-27,-0.004804849,0.008875798,0.004540354,0.008683285,0.005584085,-0.002327649,0.003227751,0.004730293,0.003642613,0.006465923,0.010571197,0.000319837,0.001384255,0.002605431
2013-02-28,0.004308637,0.029029615,-0.008861116,0.01572564,0.007529507,0.005810279,0.001840018,0.002357313,0.009050096,0.005438771,0.002100854,0.002239046,0,-0.000867702
2013-03-01,0.004290712,-0.025354491,-0.001926472,-0.005690066,-0.00355899,-0.001739846,0.003669795,0.002820732,-0.002254799,-0.003952393,0.004188445,0.000957841,0.002301412,0.00605816
2013-03-04,0.003862061,-0.036612233,-0.000241055,-0.002857026,-0.001189113,-0.000580368,-0.006430832,-0.003763256,-0.000451559,-0.002974834,0.002608821,0,0,0.000430438
2013-03-05,0.014816307,-0.018433702,0.004810045,-0.001431775,0.004353912,0.00116059,0.00138098,0.003763256,0.003156696,0.001488456,0.006233893,-0.000319207,0.000459732,-0.001293836
2013-03-06,0.007246465,0.071057921,-0.0008402,0.024063406,-0.003164799,-0.004650654,0.007793273,0.002812666,0.001799737,0.007901585,0.009278239,-0.000319179,-0.00137971,-0.003460111
2013-03-07,-0.045126629,-0.020423759,-0.000359864,-0.004204393,-0.003174791,-0.002918423,0.005464878,-0.003282555,-0.000449936,0.000491782,0.000513173,-0.001917869,-0.001842135,-0.005212686
2013-03-08,0.011183338,-0.010370463,-0.005782049,-0.005633967,-0.000795726,-0.000584919,-0.000909151,0.00046989,-0.000899781,-0.000491782,0.010204166,-0.003205783,-0.004621334,-0.004365797
2013-03-11,-0.005576177,0.129708009,0.007222343,0.031969487,0.0015902,0.005249516,0.000909151,0.002812666,0.00269686,0.002455695,0.000507306,-0.000962809,0,-0.000874975
2013-03-12,-0.002172108,-0.030546864,-0.001800991,-0.008241961,-0.001987765,0.001163567,0.004078651,0.001403405,0.002689258,0.000981312,-0.004067205,0.002567007,0.00277495,0.002187064
2013-03-13,-0.000418406,0.078433509,-0.01184444,0.00687303,-0.009194265,-0.004076317,-0.007718621,-0.010810708,-0.010801052,-0.008862498,0,-0.000320712,-0.000924472,0
2013-03-14,0.019056352,-0.035536797,-0.001338322,0.00954327,0.003206811,0.002330936,0.003185383,0.002360185,0,0.005425491,0.005587979,-0.001603837,-0.001850478,-0.002624935
2013-03-15,-0.007395563,-0.005181359,-0.002681819,-0.0164163,0.000400802,-0.003498875,0.002269102,0.003764563,0.006314715,0.000983323,-0.001520774,0.002565666,0.001850478,0.004371072
2013-03-18,-0.009637456,0.003241494,0.002438215,0.00687303,-0.005617981,0.000584045,-0.000453648,-0.001880642,-0.003152198,-0.005420615,-0.007639488,0.001919841,0.002770856,0.00521917
2013-03-19,0,-0.001943635,0.001217427,-0.00687303,0.000403012,-0.002922968,-0.001360867,-0.002355405,-0.000451151,0.001481577,-0.003071984,0.00191638,0.001842135,0.003465052
2013-03-20,0.012968201,0.069511604,-0.000121655,0.029893766,0.000803432,0.002338923,0.001814515,-0.000472107,0,0.002955715,0.007153848,-0.002236184,-0.000460609,-0.004332748
2013-03-21,0.018938294,-0.000605204,-0.013717419,-0.002681098,-0.007768307,-0.00193671,-0.00333669,-0.002673355,0.001543632,-0.00461861,-0.01229538,0.001506135,0,0.004215318
2013-03-22,0.003176124,-0.083934451,0.002832615,-0.029974986,0.00526627,-0.001763548,-0.001833364,-0.001435078,0,0,0.005654107,0.000639503,0.000923302,0.001299407
2013-03-25,0.000162431,-0.04579925,-0.004437232,-0.015331242,-0.002832114,0.002350547,-0.001836559,-0.002876082,0.000907061,-0.004989731,-0.008751804,0.000319815,0.000921303,-0.002166808
2013-03-26,0.000568823,0.010966525,-0.007400595,0.001403387,0.002832114,0.001174115,0.000459442,0.002876082,0,0.001499171,0.005671599,-0.000319815,-0.001383089,0.000433127
2013-03-27,0.00494384,0.008822589,-0.006314644,0.008379969,-0.008113302,0,0.005496785,-0.003836639,-0.00045369,-0.000499474,-0.0015436,0.002555882,0.003683393,0.005193379
2013-03-28,0.011414976,0.019405092,0.009457161,0.009688694,0.008517521,0.009921196,0.00319291,-0.00048086,0.001359697,0.004487519,0,-0.000319492,0,0
2013-04-01,-0.000879613,0.017083201,0.001129062,-0.004140808,-0.002831082,-0.004073498,-0.00685375,0.002880492,0,-0.002490714,-0.016091654,0.000957649,0,0.001723888
2013-04-02,0.015085956,-0.000651678,0.009730945,0,0.00806822,0.003493167,-0.004135153,0,0,-0.001497331,0.014545937,-0.000318767,-0.000919848,-0.001723888
2013-04-03,-0.002761977,-0.00851069,-0.005103315,-0.008333413,-0.013754659,-0.006412838,-0.018119204,-0.014972593,-0.004538966,-0.020182135,-0.007246555,0.002230236,0.003214813,0.005595277
2013-04-04,0.003549472,-0.001974334,-0.007515121,0.001393734,-0.013533258,0.004667827,0.002808862,-0.007816094,-0.014204072,-0.005622391,0.011363594,0.002225316,0.003204091,0.005135792
2013-04-05,0.000393639,-0.017276177,-0.007952065,-0.002789413,-0.009540947,0.001162919,-0.00234016,-0.010352811,-0.003698403,-0.002052476,-0.006182372,0.004435702,0.003195231,0.007656772
2013-04-08,0.021491114,-0.001341382,-0.009422452,-0.00560215,0,0.00983576,0.003274775,0.000495768,0,0.00102673,0.008747434,-0.001581789,-0.001824776,-0.002545417
2013-04-09,0.006450241,0.013333531,0.00102327,0.004204393,0.005817911,0.001725283,0.011609486,0.01181716,0.010138157,0.011732139,0.000512117,-0.000633753,-0.001370456,-0.001274987
2013-04-10,0.032530373,-0.011322132,0.007511646,0.00974276,0.013582991,-0.00287766,-0.000462352,0.007314782,0.003661459,0.004048455,0.015748239,-0.002855508,-0.002745478,-0.005973114
2013-04-11,0.000592926,-0.077255793,-0.006234562,-0.02240973,-0.003685455,-0.00115333,-0.001848602,-0.006825557,-0.005038177,-0.004555598,0.006030338,0.000953261,0.000915997,0.00042814
2013-04-12,-0.009448722,0.002168414,-0.002427916,-0.011396436,-0.000821547,0,-0.010233146,-0.00884556,-0.008761439,-0.012251726,-0.005022807,0.001902248,0.003199936,0.004694057
2013-04-15,0.00737324,0.011486128,-0.014692605,0.005714323,-0.018234812,-0.006947961,-0.033272914,-0.025495338,-0.013523677,-0.026015673,-0.017267886,0.002215542,0,0.003399203
2013-04-16,0.001704852,0.014174582,0.009819192,0.007097289,0.012469384,0.004637585,0.010577177,0.009073087,-0.002349988,0.00892152,0.007654948,-0.001264956,-0.000456789,-0.002974496
2013-04-17,-0.014023625,0.00561405,-0.005414688,-0.007097289,-0.007462957,-0.006965039,-0.018827563,-0.016186514,-0.004244225,-0.014736978,-0.011247733,0.000949125,0.001825907,0.004246612
2013-04-18,-0.000751652,-0.0348914,0.005928384,-0.012903193,-0.003334753,0.005228298,0.009216123,0.003563499,0.005654651,0.004232386,-0.003089317,0.000632293,0.000455658,0
2013-04-19,-0.002106944,0.027868899,0.002439123,0.008620645,0.007487149,0.005200446,0.001929705,0.003549928,-0.000940144,0.00579118,0.010771979,0.000316061,0.000454674,0.00084658
